ensembl_gene_id	external_gene_name	entrezgene_id
YOR028C	CIN5	854193
YBR186W	PCH2	852484
YOR080W	DIA2	854247
YBL006C	LDB7	852277
YER036C	ARB1	856758
YLR442C	SIR3	851163
YLR024C	UBR2	850711
YLR326W		851036
YIL013C	PDR11	854802
YJR015W		853472
YLR396C	VPS33	851112
YLR042C		850731
YEL056W	HAT2	856654
YER140W	EMP65	856883
YNL298W	CLA4	855418
YPR055W	SEC8	856168
YOL126C	MDH2	853994
YPL206C	PGC1	855895
YIR006C	PAN1	854822
YGL205W	POX1	852667
YOL121C	RPS19A	854028
YLR183C	TOS4	850880
YIL145C	PAN6	854661
YNL139C	THO2	855583
YBR274W	CHK1	852577
YJL071W	ARG2	853374
YLL028W	TPO1	850631
YGR189C	CRH1	853102
YHR152W	SPO12	856557
YPL283C	YRF1-7	853213
YPL283C	YRF1-7	855846
YJR118C	ILM1	853582
YLR130C	ZRT2	850821
YDR184C	ATC1	851765
YPL268W	PLC1	855860
YGR185C	TYS1	853097
YOR016C	ERP4	854181
YHR039C	MSC7	856434
YPL021W	ECM23	856086
YNL047C	SLM2	855680
YDR122W	KIN1	851700
YGR169C-A		1466460
YBR235W	VHC1	852537
YHR114W	BZZ1	856514
YLR306W	UBC12	851015
YDR054C	CDC34	851624
YOR138C	RUP1	854306
YLR351C	NIT3	851065
YKR077W	MSA2	853952
YMR032W	HOF1	855048
YMR228W	MTF1	855268
YLR242C	ARV1	850943
YJR123W	RPS5	853587
YOL068C	HST1	854086
YNL282W	POP3	855439
YMR146C	TIF34	855177
YCR084C	TUP1	850445
YNL096C	RPS7B	855628
YMR251W-A	HOR7	855293
YBR046C	ZTA1	852335
YER059W	PCL6	856787
YLR265C	NEJ1	850970
YJL046W	AIM22	853401
YEL061C	CIN8	856648
YOR165W	SEY1	854336
YIL148W	RPL40A	854658
YIL148W	RPL40A	853969
YOR011W-A		1466479
YAL041W	CDC24	851190
YDR424C	DYN2	852034
YDR194C	MSS116	851775
YGR239C	PEX21	853154
YBR108W	AIM3	852405
YAL044W-A	BOL1	851252
YOL023W	IFM1	854135
YPL046C	ELC1	856061
YDR141C	DOP1	851719
YDR288W	NSE3	851882
YBR194W	AIM4	852493
YGR201C		853115
YCR090C		850452
YLR461W	PAU4	851183
YER190C-B		4594642
YOL108C	INO4	854042
YJR148W	BAT2	853613
YJL123C	MTC1	853319
YHR218W		856628
YMR247C	RKR1	855289
YOL086C	ADH1	854068
YNL287W	SEC21	855429
YLL064C	PAU18	855813
YLL064C	PAU18	850662
YMR152W	YIM1	855183
YEL051W	VMA8	856659
YNL095C		855629
YHR021W-A	ECM12	856416
YOL028C	YAP7	854129
YMR267W	PPA2	855309
YJL065C	DLS1	853381
YLR154C	RNH203	850847
YFL001W	DEG1	850550
YMR230W	RPS10B	855270
YCL073C	GEX1	850289
YIL054W		854757
YGR056W	RSC1	852947
YDR051C	DET1	851621
YNR060W	FRE4	855797
YDR353W	TRR1	851955
YKL089W	MIF2	853773
YBR018C	GAL7	852306
YKL044W	MMO1	853822
YEL063C	CAN1	856646
YHR053C	CUP1-1	856450
YHR053C	CUP1-1	856452
YPR010C	RPA135	856119
YLR199C	PBA1	850896
YDR021W	FAL1	851584
YGL041C-B		1466454
YPR079W	MRL1	856194
YDL194W	SNF3	851333
YDR049W	VMS1	851618
YMR039C	SUB1	855055
YKL026C	GPX1	853842
YMR128W	ECM16	855158
YIL177C		854630
YGL238W	CSE1	852612
YOR087W	YVC1	854255
YPR095C	SYT1	856210
YPL016W	SWI1	856091
YJR122W	IBA57	853586
YER074W	RPS24A	854741
YER074W	RPS24A	856805
YGL234W	ADE5,7	852617
YJL033W	HCA4	853419
YNL339C	YRF1-6	855377
YBR066C	NRG2	852358
YOL133W	HRT1	853986
YDR388W	RVS167	851996
YMR269W	TMA23	855311
YPL260W	CUB1	855867
YHR200W	RPN10	856607
YMR188C	MRPS17	855226
YGR264C	MES1	853181
YHR069C	RRP4	856466
YDR233C	RTN1	851819
YLR095C	IOC2	850784
YBR196C-B		1466448
YDR235W	PRP42	851821
YNR063W		855800
YOL018C	TLG2	854142
YEL013W	VAC8	856702
YJL091C	GWT1	853354
YOR045W	TOM6	854210
YER087C-B	SBH1	856821
YHR041C	SRB2	856437
YER056C	FCY2	856783
YBR095C	RXT2	852392
YHL049C		856336
YBL011W	SCT1	852271
YDL137W	ARF2	851418
YDL193W	NUS1	851334
YOR186W		854358
YMR102C		855128
YCL061C	MRC1	850297
YBL102W	SFT2	852172
YOR065W	CYT1	854231
YEL001C	IRC22	856717
YGL164C	YRB30	852712
YJL045W		853405
YOR201C	MRM1	854376
YKL006C-A	SFT1	853863
YPL173W	MRPL40	855930
YBL105C	PKC1	852169
YLR162W-A	RRT15	1466416
